id_election,Code,Libellé du département ,Annee,nombre_inscrits,nombre_abstentions,nombre_blancs_nuls,id_candidat,id_parti_politique,nom,prenom,nombre_voix,nom_parti,id_chomage,pourcentage_chomage_T1
1,1,AIN,2007,372951,53428,13670,1,2,SARKOZY,Nicolas,185174,UMP,1,5.2
1,1,AIN,2007,372951,53428,13670,13,1,ROYAL,Ségolène,120679,PS,1,5.2
2,3,ALLIER,2007,259503,38826,10809,2,2,SARKOZY,Nicolas,102426,UMP,2,8.2
2,3,ALLIER,2007,259503,38826,10809,14,1,ROYAL,Ségolène,107442,PS,2,8.2
3,7,ARDECHE,2007,235544,31610,9399,3,2,SARKOZY,Nicolas,100414,UMP,3,8.8
3,7,ARDECHE,2007,235544,31610,9399,15,1,ROYAL,Ségolène,94121,PS,3,8.8
4,15,CANTAL,2007,123322,16704,4429,4,2,SARKOZY,Nicolas,56981,UMP,4,5.9
4,15,CANTAL,2007,123322,16704,4429,16,1,ROYAL,Ségolène,45208,PS,4,5.9
5,26,DROME,2007,338120,47344,12910,5,2,SARKOZY,Nicolas,152482,UMP,5,8.9
5,26,DROME,2007,338120,47344,12910,17,1,ROYAL,Ségolène,125384,PS,5,8.9
6,43,HAUTE LOIRE,2007,173262,23377,7714,6,2,SARKOZY,Nicolas,77086,UMP,6,6.8
6,43,HAUTE LOIRE,2007,173262,23377,7714,18,1,ROYAL,Ségolène,65085,PS,6,6.8
7,74,HAUTE SAVOIE,2007,472858,72615,17195,7,2,SARKOZY,Nicolas,241466,UMP,7,5.5
7,74,HAUTE SAVOIE,2007,472858,72615,17195,19,1,ROYAL,Ségolène,141582,PS,7,5.5
8,38,ISERE,2007,784163,113070,27707,8,2,SARKOZY,Nicolas,335314,UMP,8,6.9
8,38,ISERE,2007,784163,113070,27707,20,1,ROYAL,Ségolène,308072,PS,8,6.9
9,42,LOIRE,2007,505913,79025,19819,9,2,SARKOZY,Nicolas,221648,UMP,9,8.0
9,42,LOIRE,2007,505913,79025,19819,21,1,ROYAL,Ségolène,185421,PS,9,8.0
10,63,PUY DE DOME,2007,443310,58836,17700,10,2,SARKOZY,Nicolas,168859,UMP,10,7.4
10,63,PUY DE DOME,2007,443310,58836,17700,22,1,ROYAL,Ségolène,197915,PS,10,7.4
11,69,RHONE,2007,1037922,153002,34314,11,2,SARKOZY,Nicolas,485628,UMP,11,7.6
11,69,RHONE,2007,1037922,153002,34314,23,1,ROYAL,Ségolène,364978,PS,11,7.6
12,73,SAVOIE,2007,288079,42885,10903,12,2,SARKOZY,Nicolas,134304,UMP,12,6.1
12,73,SAVOIE,2007,288079,42885,10903,24,1,ROYAL,Ségolène,99987,PS,12,6.1
13,1,AIN,2012,393866,67279,19513,37,2,SARKOZY,Nicolas,175741,UMP,13,6.6
13,1,AIN,2012,393866,67279,19513,25,1,HOLLANDE,François,131333,PS,13,6.6
14,3,ALLIER,2012,256211,45079,14924,38,2,SARKOZY,Nicolas,84593,UMP,14,9.5
14,3,ALLIER,2012,256211,45079,14924,26,1,HOLLANDE,François,111615,PS,14,9.5
15,7,ARDECHE,2012,243351,39421,13975,39,2,SARKOZY,Nicolas,88429,UMP,15,9.6
15,7,ARDECHE,2012,243351,39421,13975,27,1,HOLLANDE,François,101526,PS,15,9.6
16,15,CANTAL,2012,120931,19078,6213,40,2,SARKOZY,Nicolas,46097,UMP,16,6.2
16,15,CANTAL,2012,120931,19078,6213,28,1,HOLLANDE,François,49543,PS,16,6.2
17,26,DROME,2012,353114,60130,18589,41,2,SARKOZY,Nicolas,139436,UMP,17,9.9
17,26,DROME,2012,353114,60130,18589,29,1,HOLLANDE,François,134959,PS,17,9.9
18,43,HAUTE LOIRE,2012,176028,27456,11381,42,2,SARKOZY,Nicolas,66703,UMP,18,7.5
18,43,HAUTE LOIRE,2012,176028,27456,11381,30,1,HOLLANDE,François,70488,PS,18,7.5
19,74,HAUTE SAVOIE,2012,504553,94000,23003,43,2,SARKOZY,Nicolas,232928,UMP,19,6.9
19,74,HAUTE SAVOIE,2012,504553,94000,23003,31,1,HOLLANDE,François,154622,PS,19,6.9
20,38,ISERE,2012,821554,147791,37886,44,2,SARKOZY,Nicolas,304429,UMP,20,7.8
20,38,ISERE,2012,821554,147791,37886,32,1,HOLLANDE,François,331448,PS,20,7.8
21,42,LOIRE,2012,509732,93595,26994,45,2,SARKOZY,Nicolas,192621,UMP,21,9.2
21,42,LOIRE,2012,509732,93595,26994,33,1,HOLLANDE,François,196522,PS,21,9.2
22,63,PUY DE DOME,2012,449281,72953,24736,46,2,SARKOZY,Nicolas,138995,UMP,22,8.1
22,63,PUY DE DOME,2012,449281,72953,24736,34,1,HOLLANDE,François,212597,PS,22,8.1
23,69,RHONE,2012,1100976,207138,41569,47,2,SARKOZY,Nicolas,443370,UMP,23,8.6
23,69,RHONE,2012,1100976,207138,41569,35,1,HOLLANDE,François,408899,PS,23,8.6
24,73,SAVOIE,2012,298887,52579,15389,48,2,SARKOZY,Nicolas,122233,UMP,24,7.4
24,73,SAVOIE,2012,298887,52579,15389,36,1,HOLLANDE,François,108686,PS,24,7.4
25,1,AIN,2017,415950,93130,28852,49,3,MACRON,Emmanuel,173809,LREM,25,7.0
25,1,AIN,2017,415950,93130,28852,61,4,LE PEN,Marine,111421,FN,25,7.0
26,3,ALLIER,2017,253479,59294,18877,50,3,MACRON,Emmanuel,106579,LREM,26,9.8
