Code du département,Libellé du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs et nuls,% BlNuls/Ins,% BlNuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe.0,Nom.0,Prénom.0,Parti.0,Voix.0,% Voix/Ins.0,% Voix/Exp.0,Sexe.1,Nom.1,Prénom.1,Parti.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
1,AIN,393866,67279.0,17.08,326587.0,82.92,19513.0,4.95,5.97,307074.0,77.96,94.03,M,HOLLANDE,François,PS,131333.0,33.34,42.77,M,SARKOZY,Nicolas,UMP,175741.0,44.62,57.23
3,ALLIER,256211,45079.0,17.59,211132.0,82.41,14924.0,5.82,7.07,196208.0,76.58,92.93,M,HOLLANDE,François,PS,111615.0,43.56,56.89,M,SARKOZY,Nicolas,UMP,84593.0,33.02,43.11
7,ARDECHE,243351,39421.0,16.2,203930.0,83.8,13975.0,5.74,6.85,189955.0,78.06,93.15,M,HOLLANDE,François,PS,101526.0,41.72,53.45,M,SARKOZY,Nicolas,UMP,88429.0,36.34,46.55
15,CANTAL,120931,19078.0,15.78,101853.0,84.22,6213.0,5.14,6.1,95640.0,79.09,93.9,M,HOLLANDE,François,PS,49543.0,40.97,51.8,M,SARKOZY,Nicolas,UMP,46097.0,38.12,48.2
26,DROME,353114,60130.0,17.03,292984.0,82.97,18589.0,5.26,6.34,274395.0,77.71,93.66,M,HOLLANDE,François,PS,134959.0,38.22,49.18,M,SARKOZY,Nicolas,UMP,139436.0,39.49,50.82
38,ISERE,821554,147791.0,17.99,673763.0,82.01,37886.0,4.61,5.62,635877.0,77.4,94.38,M,HOLLANDE,François,PS,331448.0,40.34,52.12,M,SARKOZY,Nicolas,UMP,304429.0,37.06,47.88
42,LOIRE,509732,93595.0,18.36,416137.0,81.64,26994.0,5.3,6.49,389143.0,76.34,93.51,M,HOLLANDE,François,PS,196522.0,38.55,50.5,M,SARKOZY,Nicolas,UMP,192621.0,37.79,49.5
43,HAUTE LOIRE,176028,27456.0,15.6,148572.0,84.4,11381.0,6.47,7.66,137191.0,77.94,92.34,M,HOLLANDE,François,PS,70488.0,40.04,51.38,M,SARKOZY,Nicolas,UMP,66703.0,37.89,48.62
63,PUY DE DOME,449281,72953.0,16.24,376328.0,83.76,24736.0,5.51,6.57,351592.0,78.26,93.43,M,HOLLANDE,François,PS,212597.0,47.32,60.47,M,SARKOZY,Nicolas,UMP,138995.0,30.94,39.53
69,RHONE,1100976,207138.0,18.81,893838.0,81.19,41569.0,3.78,4.65,852269.0,77.41,95.35,M,HOLLANDE,François,PS,408899.0,37.14,47.98,M,SARKOZY,Nicolas,UMP,443370.0,40.27,52.02
73,SAVOIE,298887,52579.0,17.59,246308.0,82.41,15389.0,5.15,6.25,230919.0,77.26,93.75,M,HOLLANDE,François,PS,108686.0,36.36,47.07,M,SARKOZY,Nicolas,UMP,122233.0,40.9,52.93
74,HAUTE SAVOIE,504553,94000.0,18.63,410553.0,81.37,23003.0,4.56,5.6,387550.0,76.81,94.4,M,HOLLANDE,François,PS,154622.0,30.65,39.9,M,SARKOZY,Nicolas,UMP,232928.0,46.17,60.1
