Code du département,Libellé du département,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Sexe.0,Nom.0,Prénom.0,Parti.0,Voix.0,% Voix/Ins.0,% Voix/Exp.0,Sexe.1,Nom.1,Prénom.1,Parti.1,Voix.1,% Voix/Ins.1,% Voix/Exp.1
01,AIN,438250,109568,25.0,328682,75.0,19802,4.52,6.02,5875,1.34,1.79,303005,69.14,92.19,M,MACRON,Emmanuel,LREM,166635,38.02,54.99,F,LE PEN,Marine,RN,136370,31.12,45.01
03,ALLIER,249954,62306,24.93,187648,75.07,13807,5.52,7.36,6435,2.57,3.43,167406,66.97,89.21,M,MACRON,Emmanuel,LREM,87645,35.06,52.35,F,LE PEN,Marine,RN,79761,31.91,47.65
07,ARDECHE,255931,62164,24.29,193767,75.71,15797,6.17,8.15,5715,2.23,2.95,172255,67.31,88.9,M,MACRON,Emmanuel,LREM,90254,35.26,52.4,F,LE PEN,Marine,RN,82001,32.04,47.6
15,CANTAL,115741,25815,22.3,89926,77.7,6740,5.82,7.5,2831,2.45,3.15,80355,69.43,89.36,M,MACRON,Emmanuel,LREM,45054,38.93,56.07,F,LE PEN,Marine,RN,35301,30.5,43.93
26,DROME,382280,96584,25.27,285696,74.73,21102,5.52,7.39,6682,1.75,2.34,257912,67.47,90.27,M,MACRON,Emmanuel,LREM,143696,37.59,55.72,F,LE PEN,Marine,RN,114216,29.88,44.28
38,ISERE,885888,229614,25.92,656274,74.08,43484,4.91,6.63,11356,1.28,1.73,601434,67.89,91.64,M,MACRON,Emmanuel,LREM,359685,40.6,59.8,F,LE PEN,Marine,RN,241749,27.29,40.2
42,LOIRE,513962,136870,26.63,377092,73.37,25382,4.94,6.73,7658,1.49,2.03,344052,66.94,91.24,M,MACRON,Emmanuel,LREM,194878,37.92,56.64,F,LE PEN,Marine,RN,149174,29.02,43.36
43,HAUTE LOIRE,180716,41139,22.76,139577,77.24,10846,6.0,7.77,4380,2.42,3.14,124351,68.81,89.09,M,MACRON,Emmanuel,LREM,62372,34.51,50.16,F,LE PEN,Marine,RN,61979,34.3,49.84
63,PUY DE DOME,468146,116494,24.88,351652,75.12,27453,5.86,7.81,10906,2.33,3.1,313293,66.92,89.09,M,MACRON,Emmanuel,LREM,188468,40.26,60.16,F,LE PEN,Marine,RN,124825,26.66,39.84
69,RHONE,1181791,315218,26.67,866573,73.33,49312,4.17,5.69,13997,1.18,1.62,803264,67.97,92.69,M,MACRON,Emmanuel,LREM,551544,46.67,68.66,F,LE PEN,Marine,RN,251720,21.3,31.34
73,SAVOIE,320730,79968,24.93,240762,75.07,17239,5.37,7.16,5266,1.64,2.19,218257,68.05,90.65,M,MACRON,Emmanuel,LREM,125770,39.21,57.62,F,LE PEN,Marine,RN,92487,28.84,42.38
74,HAUTE SAVOIE,565838,147184,26.01,418654,73.99,26087,4.61,6.23,7367,1.3,1.76,385200,68.08,92.01,M,MACRON,Emmanuel,LREM,237506,41.97,61.66,F,LE PEN,Marine,RN,147694,26.1,38.34
